epoch,batch,d_gan_loss,d_AU_loss,g_gan_loss,g_AU_loss,reconstr_loss,fid_joy,fid_sadness,fid_surprise,fid_contempt
0,0,0.05401805,0.69751906,0.73390317,0.60175663,0.5981085999999999,371.4170790536992,386.83253631333326,382.7059175401105,369.8008881683706
0,1000,0.023841292000000004,0.5374800999999999,0.60080075,0.43875945,0.06965672,231.50209358050208,231.3173238932244,282.8938707183591,229.38872874263802
0,2000,-0.213633,0.58781916,0.7343121,0.37796065,0.054249007,123.5319043656733,154.1482691193416,176.6643244483218,124.87320966009294
0,3000,-0.21364462,0.51035804,0.8729466999999999,0.40869397,0.046650674,79.26745300654208,117.50860075365836,140.27952587006183,82.43862883210934
0,4000,-0.12129298,0.53123665,-0.34372684,0.39286506,0.05396505,102.45913586256157,131.75973024391868,170.3320329840246,110.81714433807673
1,0,-0.15000536,0.5154393,-0.009115147,0.43836936,0.0503152,104.42049834753423,166.8688886795421,182.02299942461426,101.97266939915647
1,1000,-0.3974852,0.5016544,0.14249447,0.40221807,0.05034592,81.02292765498963,120.6676901695219,137.8639606550695,78.71545098794613
1,2000,-0.21836515,0.4857415,0.15952495,0.3448897,0.047861136,75.08103294937784,99.40189410345785,113.63069819933071,81.35457326955631
1,3000,-0.35038632,0.5150029,0.25342703,0.37108847,0.047226597,60.66390299181994,95.56106333211123,104.06221475066287,63.629066959436905
1,4000,-0.3646614,0.53655887,0.065349214,0.37848723,0.04722845,61.84684073661785,98.17956314880657,107.93073398882126,64.93803746945301
2,0,1.6602235,0.51375496,-2.1788046000000003,0.41568,0.060937013,102.92354273565365,155.4643900006336,180.96195339650527,104.95797784753748
2,1000,-0.3128023,0.50664407,-0.30141044,0.36252856,0.041714914,52.49604866937827,81.16079950224805,103.9709623456104,55.64422785669771
2,2000,-0.080974594,0.52354854,0.048611276,0.4105971,0.04170937,57.47847514252986,88.9331797449669,131.33076834449759,64.30965066431871
2,3000,-0.42404908,0.5424001,0.22076862,0.36128253,0.03671704,47.715754145747404,82.88586728177357,92.94259334798012,55.870768581433886
2,4000,-0.45673546,0.49189427,0.265697,0.34770796,0.035036597,43.21134437293978,78.98439013980024,96.74222602939446,47.549637588226574
3,0,-0.3211246,0.5061819000000001,-0.30334792,0.34285,0.038006898,52.43966181561366,102.70850697864807,112.85813831870355,54.99014144345699
3,1000,-0.4901099,0.52777344,0.29263455,0.32767943,0.03517431,43.966165355418646,74.89865206283046,111.6040738056612,47.71925755591735
3,2000,-0.39362422,0.5227507,-0.02379048,0.32567996,0.036375456,45.15848885105504,90.73346538792428,122.8160543160279,47.86850344030506
3,3000,-0.43343097,0.55423844,0.33586532,0.35402322,0.034107853,44.07152907284547,102.50962150535624,109.16630959959951,47.92601465979071
3,4000,-0.26967105,0.48775223,0.11701815,0.35712552,0.035425078,58.959827314368994,80.56272826030411,94.4143042417374,58.68940124307181
4,0,-0.35512426,0.4643037999999999,0.2468255,0.35295588,0.03568094,57.21407947557185,78.06277597724525,96.76979595343924,54.763949641367645
4,1000,-0.6259264,0.49385363,-0.28521603,0.37061876,0.033400368,42.480443964759566,67.12647130178055,95.49723262156502,40.74786031879344
4,2000,-0.45039025,0.5267713,-0.11448514,0.3395684,0.03490319,45.00927769176654,83.15529192400248,89.4515494181698,41.3926307032379
4,3000,-0.24976599,0.5209858,-0.56713116,0.38698584,0.03481023,42.80729443360437,72.09163275460878,93.77252099103792,43.350345724381896
4,4000,-0.15617758,0.47797704,-0.39010993,0.37497082,0.030883903,41.67693250013537,61.36550875240818,87.96752917772676,40.33854259439542
5,0,-0.34647214,0.4805124,-0.58791435,0.37476406,0.030232469,38.28384956382779,75.06059129004413,97.6955443137512,36.86834067609404
5,0,-0.26916772,0.5438810000000001,-0.33896875,0.36512825,0.030256366,38.35995849046026,75.91447247717693,96.02089138257851,36.36817927663452
5,1000,-0.38200366,0.52920794,-0.11308725,0.3308923,0.03834275,53.81998931083207,87.795919615624,116.16915835271156,45.70584381025286
5,2000,-0.27174115,0.5597648000000001,-0.058199663,0.31718850000000004,0.038926676,44.717055796858794,73.31993438409155,83.38491544463994,45.42730464984187
5,3000,-0.23064989,0.5079541,-0.3442854,0.36499387,0.03644112,47.98884645608013,76.28917304503884,119.68735520291878,44.452784259871095
5,4000,-0.45836538,0.5183595,0.48206306,0.33320007,0.033415698,39.24120589691289,65.21948321126152,94.82902600728474,42.976134874945984
6,0,-0.3680294,0.506387,-0.030529913,0.3889161,0.03477222,40.37170475120698,75.60398836391417,116.7464813813987,40.98118650140373
6,1000,-0.32101979999999997,0.4842863,0.14322695,0.35651416,0.0343149,40.20340220249445,67.83228012778761,74.95249872851579,41.49440948897745
6,2000,-0.23960996,0.48042133,-0.29897827,0.35493162,0.030224074,41.14556609009418,57.74095099940831,61.88715700144357,39.77574159868715
6,3000,-0.4120245,0.5122598,0.4630121,0.3603159,0.032414474,39.68332530196243,53.0638268892009,75.08296135896441,44.85762557194809
6,4000,-0.3705744,0.5289064,0.4679886,0.34936136,0.036123767,45.097809557209985,54.14262793547037,64.27812291222924,51.87956872999864
7,0,-0.05565238,0.49523577,-0.18712616,0.33206679999999994,0.03514884,43.74787910271982,63.96290482809371,72.32818206427727,49.471968511895284
7,1000,-0.30937558,0.49177277,0.31186143,0.35283104,0.029607533,36.73805697707125,53.407881218865185,62.50689513631062,40.40642112170006
7,2000,-0.11254358,0.50974524,-0.3716757,0.36581534,0.032289356,41.30366167806018,57.179540311944855,68.39615996479796,44.988029406954965
7,3000,-0.1303333,0.5276529999999999,-0.23459843,0.35391286,0.039208964,39.04354502666402,50.51091911833079,57.89884903773788,43.145152324553976
7,4000,-0.26609057,0.47790685,0.18729301,0.35737965,0.030259762000000006,32.57007203880761,41.39774823877281,50.208205381564895,34.77013316930666
8,0,-0.35137546,0.49778625,-0.50043064,0.37055418,0.03034323,34.80286856135402,43.42746283015447,53.3717687215464,37.61671832688282
8,1000,-0.28750336,0.50809747,0.26899606,0.34623793,0.033388197,32.499241927696794,41.19603015518956,46.70272508842461,34.44316403053102
8,2000,-0.12697536,0.5027772,-0.19216101,0.35224232,0.031011835,26.55795009134409,33.48692247435122,42.11608414604939,28.332080727192874
8,3000,-0.27442202,0.5416805,0.29914433,0.35611454,0.030093933,28.819360996751442,33.65630138939025,40.68930870084779,29.650395413669077
8,4000,0.10724446,0.48406899999999997,-0.06732677,0.37061669999999997,0.032096412000000005,29.658023954160484,34.06784750119556,49.080841104853675,32.898425778005674
9,0,-0.10877526,0.4476259,-0.58792424,0.39869606,0.03417163,29.5603645874275,42.53730493522664,50.79300653350768,33.03189686955505
9,1000,-0.37442255,0.49167696,-0.47978023,0.36706308,0.030744032999999997,32.20534556411227,43.625374563625094,52.11585838031121,36.14778348963938
9,2000,-0.5110138,0.5101418,-0.104711756,0.33334878,0.029796101000000002,27.4297711129004,34.57634164090817,41.48979730084031,31.33485765810565
9,3000,-0.22491878,0.5040975000000001,1.1012301000000002,0.3676517,0.03127759,26.595694800579963,32.23795794530312,39.363123690593795,28.68119391232119
9,4000,-0.40029097,0.48181528,0.9943675999999999,0.36653215,0.02807325,25.76287604284761,28.91447677532091,38.65449745267958,30.153143293188386
