epoch,batch,d_gan_loss,d_AU_loss,g_gan_loss,g_AU_loss,reconstr_loss,fid_joy,fid_sadness,fid_surprise,fid_contempt
0,0,-0.01193187,0.6974130000000001,0.59973234,0.6020866,0.616809,345.89195637361524,358.17514220009224,354.0278956656552,346.18158449229935
0,0,-1.0227733,0.018139137,-1.1046767,0.03916739,0.023678333,17.232621544222187,20.441626127839417,22.560342353222488,16.534244167883738
1,0,-1.0802215,0.032836467,-0.11657804,0.041453507,0.024448638999999998,17.067683207689267,20.61938847725904,22.63555767580985,16.54602769590113
2,0,-1.1058135,0.024433142999999997,-0.44248667,0.017481121999999998,0.023194779,18.033763340063103,20.62204605289341,21.79126340845955,16.911785242052673
2,0,-0.7411066999999999,10.654988,-1.0940237,7.022978299999999,0.026577756,19.074995840745657,21.705572415753974,22.63638462961586,17.423743462712878
2,1000,-0.37103516,0.07243395,-0.38259333,0.06457108,0.025035312,21.05998046976632,22.6700900506699,27.25879306549845,19.606305298312357
2,2000,-0.28696853,0.062086552,-0.76879865,0.058030166,0.024246985,23.23169710344618,24.678433842889557,31.587408937372885,21.137811796899236
2,3000,-0.20699322,0.06011775,-0.8764707,0.054621715,0.025001971,20.923129081696857,23.02841581781493,31.24307943287641,18.082678067611877
3,0,-0.12881184,0.0583752,-0.5436125,0.06443335,0.024001298,18.25091697409377,21.036299559825295,27.38424545370995,16.803953608154043
3,1000,-0.101592064,0.06160651,-1.1188283,0.055632524,0.02339148,19.68658593318449,21.955680157992678,28.3065722622581,18.04643952490472
3,2000,-0.026894093,0.065147296,-0.5117262,0.056467168,0.023843262,22.020035908464962,26.04997461468343,32.87001020229661,19.775520276790445
3,3000,0.5360825,0.057501763,-0.6423205,0.061910056,0.038608376,75.94163772126333,70.91125305275085,90.26545345147929,74.21736468590439
4,0,0.08976412,0.05788327,-3.5168877,0.066490345,0.049692046,311.0913852873777,295.15787783281064,303.3969968496449,306.667720385128
4,0,0.4882741,0.06885881,-3.4016976000000003,0.059240468,0.043180975999999996,310.75041202646963,293.83033462872584,303.35102540036644,304.5386326124092
5,0,0.11157858,0.064188175,-1.7642974999999999,0.055543233,0.026259981,22.644854183609823,28.044889278225728,35.63313523433155,21.94674157200745
6,0,0.9343396999999999,0.061519686,-1.2934217,0.05781385,0.037952099999999996,55.34033314963891,60.092365848240824,83.85872097743872,59.12166992269628
7,0,0.10486889,0.06179112,-0.7398753,0.06679356,0.021884123,19.933905280749453,23.356950020437328,25.085532816189247,18.313792982915913
8,0,0.010813683000000001,0.059594583,-0.37434602,0.055057734000000004,0.019505243999999998,19.22665094538425,23.017939640905727,27.763515535566288,17.89850735869291
9,0,0.091085434,0.060218222,-0.80012274,0.065907545,0.021208685,21.15712732330249,23.481542623587497,29.874480931529924,19.507305417739815
10,0,0.061451435,0.06290071,-2.2827612999999998,0.05830991,0.020655012,17.724089562639847,20.01956859248605,26.63476442046297,16.711317574445104
11,0,0.06823182,0.06802533599999999,-4.055781,0.07199619,0.020648034,17.526308413546616,22.51542540568261,30.06005775775651,17.206876405903387
12,0,-0.012503624,0.06138153,-1.6196754,0.06682956,0.021127808999999997,17.58335931027483,20.046655268732195,41.30360842767331,15.850285474848366
13,0,0.01764059,0.07161713,-1.8444736000000002,0.06512862400000001,0.021254065,17.238033441310762,18.919728484145992,36.493853907009736,16.169079001066617
14,0,-0.03918481,0.064081766,-2.1196113,0.05886766,0.019136438000000002,17.220180160466555,20.308873998415834,31.266679417653705,15.834307720567493
15,0,-0.2846613,0.0651279,-3.0556798,0.065446764,0.039723806,282.0358566157973,266.4850977013282,276.5185187015593,280.9546987996656
16,0,-0.080060005,0.06496185,-2.3059373,0.06588574,0.039607953,40.17775049804359,48.25840243739441,62.02551055178685,41.37201375639562
